id,url,operation,state,location_id,ubication__latitude,ubication__longitude,ubication__hasHiddenAddress,ubication__administrativeAreaLevel1,ubication__administrativeAreaLevel2,ubication__administrativeAreaLevel3,ubication__administrativeAreaLevel4,commercialDataId,price raw,house type,extendedPropertyType,constructedArea,usableArea,plotOfLand,roomNumber,bathNumber,isInTopFloor,isDuplex,flatLocation,isStudio,agencyIsABank,isPenthouse,energyCertificationType,energyPerformance,status,lift,isAuction,boxroom,swimmingPool,chimney,garden,communityCosts,heaterType1,heaterType2,construction year,manyFloors,orientation,terrace,has garage,garage price,floorNumber,air conditioning
112210259,https://www.idealista.com/inmueble/112210259/,sale,Córdoba,Córdoba,37.8829037,-4.8160724,True,,,Noreña - Figueroa,Miralbaida - Parque Azahara,,,,flat,135.0,,,3,2,,False,,False,,,,,good,True,,,,,,,,,,,,,True,,1,
109707951,https://www.idealista.com/inmueble/109707951/,sale,Córdoba,Córdoba,37.9217241,-4.7969064,True,,,Brillante - Trassierra - Naranjo,Brillante,,,,independantHouse,307.0,,,4,3,,False,,False,,,,,good,,,,,,,,,,,,,,True,,,
84545480,https://www.idealista.com/inmueble/84545480/,sale,Córdoba,Córdoba,37.8819562,-4.7835383,True,,,Centro - Casco Histórico,Judería - San Basilio,,,,independantHouse,246.0,,,4,2,,False,,False,,,,,renew,,,,,,,,,,,,,,False,,,
111525464,https://www.idealista.com/inmueble/111525464/,sale,Córdoba,Córdoba,37.861548,-4.7748186,True,,,Sector sur - Santa Cruz,Sector sur - Santa Cruz,,,,flat,58.0,,,3,1,,False,,False,,,,,good,True,,,,,,,,,,,,,False,,bj,
88651870,https://www.idealista.com/inmueble/88651870/,sale,Córdoba,Córdoba,37.8884503,-4.7692956,True,,,Centro - Casco Histórico,Casco Histórico - Corredera - Ribera,,,,independantHouse,397.0,,,8,1,,False,,False,,,,,good,,,,,,,,,,,,,,False,,,
111755866,https://www.idealista.com/inmueble/111755866/,sale,Córdoba,Córdoba,37.8876526,-4.7691438,True,,,Centro - Casco Histórico,Casco Histórico - Ollerías - Marrubial,,,,flat,53.0,,,3,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,3,
112020205,https://www.idealista.com/inmueble/112020205/,sale,Córdoba,Córdoba,37.865266,-4.7719774,True,,,Campo de la Verdad,Campo de la Verdad,,,,independantHouse,83.0,,,3,1,,False,,False,,,,,renew,,,,,,,,,,,,,,False,,,
112131853,https://www.idealista.com/inmueble/112131853/,sale,Córdoba,Córdoba,37.8817842,-4.7719612,True,,,Centro - Casco Histórico,Casco Histórico - Corredera - Ribera,,,,independantHouse,200.0,,,3,2,,False,,False,,,,,good,,,,,,,,,,,,,,False,,,
109428309,https://www.idealista.com/inmueble/109428309/,sale,Córdoba,Córdoba,37.9108526,-4.779671,True,,,Brillante - Trassierra - Naranjo,Naranjo - Mirabueno,,,,chalet,279.0,,,4,2,,False,,False,,,,,good,,,,,,,,,,,,,,True,,,
112248044,https://www.idealista.com/inmueble/112248044/,sale,Córdoba,Córdoba,37.9100067,-4.7808477,True,,,Brillante - Trassierra - Naranjo,Naranjo - Mirabueno,,,,flat,65.0,,,3,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,1,
111877062,https://www.idealista.com/inmueble/111877062/,sale,Córdoba,Córdoba,37.9079816,-4.7798713,True,,,Brillante - Trassierra - Naranjo,Naranjo - Mirabueno,,,,flat,105.0,,,4,2,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,1,
110695005,https://www.idealista.com/inmueble/110695005/,sale,Córdoba,Córdoba,37.86585,-4.7728286,True,,,Campo de la Verdad,Campo de la Verdad,,,,semidetachedHouse,60.0,,,0,0,,False,,False,,,,,renew,,,,,,,,,,,,,,False,,,
111899907,https://www.idealista.com/inmueble/111899907/,sale,Córdoba,Córdoba,37.8902812,-4.7704321,True,,,Centro - Casco Histórico,Casco Histórico - Ollerías - Marrubial,,,,studio,40.0,,,0,1,,False,,True,,,,,good,False,,,,,,,,,,,,,False,,,
111406589,https://www.idealista.com/inmueble/111406589/,sale,Córdoba,Córdoba,37.8642923,-4.772319,True,,,Campo de la Verdad,Campo de la Verdad,,,,semidetachedHouse,72.0,,,3,1,,False,,False,,,,,renew,,,,,,,,,,,,,,False,,,
110685572,https://www.idealista.com/inmueble/110685572/,sale,Córdoba,Córdoba,37.8706976,-4.7773129,True,,,Sector sur - Santa Cruz,Sector sur - Santa Cruz,,,,flat,45.0,,,1,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,,
111715266,https://www.idealista.com/inmueble/111715266/,sale,Córdoba,Córdoba,37.8699753,-4.7804983,True,,,Sector sur - Santa Cruz,Sector sur - Santa Cruz,,,,flat,80.0,,,3,1,,False,,False,,,,,renew,True,,,,,,,,,,,,,False,,4,
111249118,https://www.idealista.com/inmueble/111249118/,sale,Córdoba,Córdoba,37.9000649,-4.7571482,True,,,Levante - Lepanto - Fátima,Fátima - Campiñuela,,,,flat,80.0,,,2,1,,False,,False,,,,,good,True,,,,,,,,,,,,,False,,,
111371837,https://www.idealista.com/inmueble/111371837/,sale,Córdoba,Córdoba,37.895818,-4.7734806,True,,,Centro - Casco Histórico,San Cayetano,,,,flat,90.0,,,3,2,,False,,False,,,,,good,True,,,,,,,,,,,,,False,,bj,
